step,roll,pitch,yaw,position_n,position_e,position_d,velocity_u,Va,gear_deploy,throttle,elevator
72,-0.0590835,9.0667e-06,-2.21543e-06,0.880537,-0.000160885,0.01615,3.32195,3.39416,1,0.974009,-0.00203871
73,-0.0611573,9.35192e-06,-2.57409e-06,0.91484,-0.000179827,0.0161316,3.39416,3.46649,1,0.975276,-0.00160846
74,-0.0632593,9.66633e-06,-2.97587e-06,0.949867,-0.000200606,0.0161126,3.46648,3.53891,1,0.976482,-0.00211083
75,-0.0653887,9.97619e-06,-3.44106e-06,0.985619,-0.000223361,0.0160932,3.53891,3.61142,1,0.977629,-0.00153865
76,-0.0675448,1.03129e-05,-3.95883e-06,1.0221,-0.000248239,0.0160733,3.61142,3.68402,1,0.97872,-0.0021068
77,-0.0697268,1.06389e-05,-4.55588e-06,1.0593,-0.000275394,0.0160529,3.68402,3.75669,1,0.979758,-0.00154033
78,-0.0719338,1.09966e-05,-5.21928e-06,1.09723,-0.000304989,0.0160321,3.75669,3.82942,1,0.980745,-0.00211082
79,-0.0741651,1.13416e-05,-5.97875e-06,1.13589,-0.000337191,0.0160108,3.82942,3.90221,1,0.981684,-0.00153465
80,-0.0764197,1.17191e-05,-6.82072e-06,1.17527,-0.000372182,0.015989,3.90221,3.97505,1,0.982578,-0.00210133
81,-0.0786969,1.20807e-05,-7.7785e-06,1.21539,-0.000410145,0.0159668,3.97505,4.04794,1,0.983427,-0.00154311
82,-0.0809958,1.24755e-05,-8.83846e-06,1.25623,-0.000451277,0.0159441,4.04793,4.12085,1,0.984236,-0.00211691
83,-0.0833155,1.28519e-05,-1.00372e-05,1.29781,-0.000495779,0.015921,4.12085,4.1938,1,0.985004,-0.0015263
84,-0.0856553,1.32615e-05,-1.136e-05,1.34011,-0.000543867,0.0158974,4.1938,4.26677,1,0.985736,-0.00208729
85,-0.0880142,1.36475e-05,-1.28484e-05,1.38314,-0.000595758,0.0158733,4.26677,4.33975,1,0.986431,-0.00155551
86,-0.0903915,1.40666e-05,-1.44887e-05,1.4269,-0.000651686,0.0158489,4.33975,4.41275,1,0.987093,-0.00213978
87,-0.0927861,1.44603e-05,-1.63251e-05,1.4714,-0.000711887,0.015824,4.41275,4.48575,1,0.987723,-0.00150133
88,-0.0951974,1.48857e-05,-1.83413e-05,1.51662,-0.000776614,0.0157986,4.48575,4.55875,1,0.988321,-0.00204338
89,-0.0976244,1.52753e-05,-2.05891e-05,1.56257,-0.000846121,0.0157728,4.55875,4.63175,1,0.988891,-0.00159842
90,-0.100066,1.56958e-05,-2.30572e-05,1.60925,-0.000920681,0.0157466,4.63174,4.70473,1,0.989433,-0.00211724
91,-0.102522,1.60845e-05,-2.57941e-05,1.65667,-0.00100057,0.01572,4.70473,4.77771,1,0.989948,-0.00152577
92,-0.104991,1.64961e-05,-2.87876e-05,1.70481,-0.00108607,0.0156929,4.7777,4.85066,1,0.990438,-0.00208628
93,-0.107472,1.68612e-05,-3.20982e-05,1.75368,-0.00117749,0.0156655,4.85065,4.92359,1,0.990905,-0.00155488
94,-0.109965,1.72512e-05,-3.57127e-05,1.80328,-0.00127512,0.0156376,4.92358,4.99649,1,0.991348,-0.00213925
95,-0.112468,1.759e-05,-3.96954e-05,1.85361,-0.0013793,0.0156093,4.99648,5.06937,1,0.99177,-0.00149948
96,-0.114982,1.79487e-05,-4.40302e-05,1.90467,-0.00149034,0.0155806,5.06935,5.1422,1,0.992172,-0.00204099
97,-0.117504,1.824e-05,-4.87912e-05,1.95645,-0.00160859,0.0155516,5.14219,5.215,1,0.992553,-0.00159812
98,-0.120034,1.85469e-05,-5.39692e-05,2.00897,-0.00173438,0.0155221,5.21499,5.28776,1,0.992917,-0.0021145
99,-0.122572,1.87885e-05,-5.96341e-05,2.06221,-0.00186809,0.0154923,5.28775,5.36048,1,0.993262,-0.00152585
100,-0.125116,1.90314e-05,-6.57758e-05,2.11617,-0.00201008,0.015462,5.36046,5.43314,1,0.993591,-0.0020875
101,-0.127666,1.91871e-05,-7.24796e-05,2.17087,-0.00216073,0.0154314,5.43312,5.50576,1,0.993903,-0.00155099
102,-0.13022,1.93427e-05,-7.97345e-05,2.22629,-0.00232043,0.0154004,5.50574,5.57832,1,0.994201,-0.00213338
